id,price,city,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds
3775876,125.0,boston,jamaica plain,apartment,private room,2,1,1,1
3693850,88.0,boston,jamaica plain,condominium,private room,1,1,1,1
4736217,72.0,boston,jamaica plain,apartment,private room,1,1,1,1
14428514,22.0,boston,,apartment,shared room,1,1,1,1
3021862,90.0,boston,jamaica plain,house,private room,2,1,1,1
4348422,150.0,boston,jamaica plain,apartment,private room,2,2,1,1
973840,82.0,boston,jamaica plain,apartment,private room,2,1,1,1
9575439,84.0,boston,jamaica plain,house,private room,2,1,1,1
4430821,160.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
9591772,110.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
3079305,150.0,boston,jamaica plain,apartment,entire home/apt,4,1,2,2
14474114,80.0,boston,jamaica plain,condominium,private room,2,1,1,1
7789429,225.0,boston,jamaica plain,apartment,entire home/apt,5,1,2,3
1203014,65.0,boston,jamaica plain,apartment,private room,2,1,1,1
957224,275.0,jamaica plain,jamaica plain,house,entire home/apt,8,1,3,4
4119345,300.0,boston,jamaica plain,house,entire home/apt,8,2,3,3
5495547,185.0,boston,jamaica plain,house,entire home/apt,5,1,3,3
12081834,175.0,boston,jamaica plain,apartment,entire home/apt,4,1,1,1
14260905,175.0,boston,jamaica plain,apartment,entire home/apt,5,1,2,3
3988018,75.0,boston,jamaica plain,apartment,private room,2,1,1,2
728238,60.0,jamaica plain,jamaica plain,apartment,private room,2,1,1,1
12997241,100.0,boston,jamaica plain,apartment,entire home/apt,3,2,2,2
10074653,75.0,boston,jamaica plain,townhouse,private room,1,1,1,1
4054079,94.0,boston,jamaica plain,townhouse,entire home/apt,2,1,0,1
12849003,85.0,boston,jamaica plain,townhouse,private room,2,1,1,1
8067585,83.0,jamaica plain,,apartment,private room,2,1,1,1
7723492,75.0,boston,jamaica plain,apartment,private room,2,1,1,1
1956275,168.0,boston,jamaica plain,apartment,entire home/apt,6,2,3,3
